id_sessao,id_cliente,data_hora_inicio,dispositivo,versao_app,qualidade_conexao,duracao_segundos,data_hora_fim,abandonada,motivo_encerramento,score_experiencia
78,41,2024-08-28 11:41:24,iOS,6.0,Boa,60,2024-08-28 11:42:24,False,Logout,100
79,41,2024-09-17 20:11:01,iOS,6.1,Boa,95,2024-09-17 20:12:36,False,Logout,95
80,41,2024-10-09 18:18:46,Android,6.1,Excelente,91,2024-10-09 18:20:17,False,Logout,100
81,41,2024-10-23 18:03:12,iOS,6.0,Boa,44,2024-10-23 18:03:56,False,Logout,100
82,41,2024-12-04 07:18:41,iOS,6.0,Boa,26,2024-12-04 07:19:07,False,Logout,100
83,41,2024-12-04 21:03:27,iOS,5.9,Excelente,37,2024-12-04 21:04:04,False,Logout,100
84,41,2024-12-06 12:09:11,iOS,5.9,Excelente,57,2024-12-06 12:10:08,False,Logout,100
85,41,2024-12-11 09:57:16,iOS,6.1,Regular,34,2024-12-11 09:57:50,False,Logout,100
86,45,2024-02-20 19:13:21,Android,6.0,Boa,48,2024-02-20 19:14:09,False,Logout,100
87,45,2024-04-16 08:14:14,Android,6.0,Boa,48,2024-04-16 08:15:02,False,Logout,100
88,45,2024-11-03 13:07:25,Android,6.0,Boa,125,2024-11-03 13:09:30,False,Logout,100
89,47,2024-03-21 08:25:01,Android,5.9,Boa,10,2024-03-21 08:25:11,True,Abandono,30
90,47,2024-04-01 21:02:08,Android,6.1,Boa,52,2024-04-01 21:03:00,False,Logout,100
91,47,2024-05-01 12:41:51,Android,6.1,Regular,69,2024-05-01 12:43:00,False,Logout,100
92,47,2024-05-14 07:02:00,Android,5.9,Boa,48,2024-05-14 07:02:48,False,Logout,100
93,47,2024-06-03 18:13:40,Android,6.0,Regular,155,2024-06-03 18:16:15,False,Logout,100
94,47,2024-08-15 17:41:04,Android,6.1,Excelente,52,2024-08-15 17:41:56,False,Logout,100
95,47,2024-09-07 09:47:52,Android,6.0,Boa,25,2024-09-07 09:48:17,False,Logout,100
96,47,2024-10-01 13:47:16,Android,6.0,Regular,100,2024-10-01 13:48:56,False,Logout,100
97,47,2024-10-02 19:14:52,Android,6.1,Excelente,27,2024-10-02 19:15:19,False,Logout,100
98,47,2024-11-24 06:50:07,Android,6.1,Ruim,475,2024-11-24 06:58:02,False,Logout,80
99,47,2024-11-29 15:31:12,Android,5.9,Boa,146,2024-11-29 15:33:38,False,Logout,95
100,47,2024-12-08 06:20:18,Android,6.1,Boa,56,2024-12-08 06:21:14,False,Logout,100
101,47,2024-12-15 22:13:44,Android,6.1,Excelente,33,2024-12-15 22:14:17,False,Logout,100
102,48,2024-02-18 19:49:31,Android,6.1,Excelente,26,2024-02-18 19:49:57,False,Logout,100
103,48,2024-03-05 00:49:49,iOS,6.0,Boa,30,2024-03-05 00:50:19,False,Logout,100
104,48,2024-03-06 13:42:35,iOS,6.0,Excelente,58,2024-03-06 13:43:33,False,Logout,100
105,48,2024-03-11 11:37:19,iOS,6.1,Regular,31,2024-03-11 11:37:50,False,Logout,100
106,48,2024-03-26 20:57:44,iOS,6.1,Boa,21,2024-03-26 20:58:05,False,Logout,100
107,48,2024-04-30 13:42:38,iOS,6.1,Boa,33,2024-04-30 13:43:11,False,Logout,100
108,48,2024-05-19 18:44:19,iOS,6.1,Excelente,98,2024-05-19 18:45:57,False,Logout,100
109,48,2024-06-26 11:03:32,iOS,6.0,Boa,18,2024-06-26 11:03:50,False,Logout,100
110,48,2024-07-13 22:07:32,iOS,6.1,Excelente,82,2024-07-13 22:08:54,False,Logout,100
111,48,2024-08-02 11:50:24,iOS,6.1,Boa,43,2024-08-02 11:51:07,False,Logout,100
112,48,2024-08-06 00:43:46,iOS,6.1,Boa,100,2024-08-06 00:45:26,False,Logout,80
113,48,2024-08-09 15:49:39,iOS,6.0,Boa,21,2024-08-09 15:50:00,False,Logout,100
114,48,2024-08-16 09:13:58,iOS,6.1,Excelente,40,2024-08-16 09:14:38,False,Logout,100
115,48,2024-08-21 08:51:28,iOS,6.1,Boa,27,2024-08-21 08:51:55,False,Logout,100
116,48,2024-08-29 21:12:16,iOS,5.9,Ruim,131,2024-08-29 21:14:27,False,Logout,100
117,48,2024-09-26 17:05:07,iOS,6.0,Excelente,65,2024-09-26 17:06:12,False,Logout,73
118,48,2024-09-30 20:18:38,Android,6.1,Excelente,34,2024-09-30 20:19:12,False,Logout,100
119,48,2024-10-03 09:17:38,iOS,6.0,Excelente,138,2024-10-03 09:19:56,False,Logout,100
120,48,2024-10-09 11:19:59,Android,6.0,Ruim,60,2024-10-09 11:20:59,False,Logout,100
121,48,2024-11-04 21:38:01,Android,6.0,Boa,34,2024-11-04 21:38:35,False,Logout,100
122,48,2024-11-24 21:25:17,iOS,6.0,Ruim,328,2024-11-24 21:30:45,False,Logout,95
123,48,2024-12-17 10:55:42,iOS,6.1,Regular,56,2024-12-17 10:56:38,False,Logout,100
124,54,2024-02-06 20:12:45,Android,6.1,Boa,65,2024-02-06 20:13:50,False,Logout,100
125,54,2024-02-07 09:33:28,Android,5.9,Excelente,41,2024-02-07 09:34:09,False,Logout,100
126,54,2024-03-19 20:48:18,Android,6.1,Boa,55,2024-03-19 20:49:13,False,Logout,100
127,54,2024-04-04 02:03:27,Android,6.1,Boa,34,2024-04-04 02:04:01,False,Logout,100
128,54,2024-06-04 17:40:55,Android,6.1,Boa,41,2024-06-04 17:41:36,False,Logout,100
129,54,2024-06-05 21:37:40,Android,6.0,Boa,28,2024-06-05 21:38:08,False,Logout,100
130,54,2024-06-09 22:00:09,Android,6.1,Regular,346,2024-06-09 22:05:55,False,Logout,83
131,54,2024-06-10 17:12:35,Android,6.0,Excelente,143,2024-06-10 17:14:58,False,Logout,100
132,54,2024-07-04 21:00:44,Android,6.1,Boa,28,2024-07-04 21:01:12,False,Logout,100
133,54,2024-07-09 13:35:33,iOS,6.1,Boa,45,2024-07-09 13:36:18,False,Logout,100
134,54,2024-07-23 08:45:20,Android,6.1,Ruim,63,2024-07-23 08:46:23,False,Logout,100
135,54,2024-07-28 15:10:33,Android,6.0,Boa,38,2024-07-28 15:11:11,False,Logout,100
136,54,2024-08-20 11:37:08,Android,6.0,Excelente,26,2024-08-20 11:37:34,False,Logout,100
137,54,2024-08-25 01:50:14,Android,6.0,Regular,31,2024-08-25 01:50:45,False,Logout,100
138,54,2024-08-28 08:13:19,Android,6.1,Excelente,39,2024-08-28 08:13:58,False,Logout,100
139,54,2024-09-02 19:32:09,iOS,6.1,Regular,357,2024-09-02 19:38:06,False,Logout,100
140,54,2024-09-10 21:22:07,Android,6.0,Excelente,76,2024-09-10 21:23:23,False,Logout,100
141,54,2024-09-18 13:08:42,iOS,6.1,Boa,67,2024-09-18 13:09:49,False,Logout,100
142,54,2024-09-23 16:05:54,Android,6.1,Regular,156,2024-09-23 16:08:30,False,Logout,100
143,54,2024-10-12 22:55:19,Android,6.1,Regular,49,2024-10-12 22:56:08,False,Logout,73
144,54,2024-10-23 07:42:15,Android,6.0,Excelente,81,2024-10-23 07:43:36,False,Logout,100
145,54,2024-10-23 12:57:24,Android,6.0,Boa,94,2024-10-23 12:58:58,False,Logout,100
146,54,2024-11-01 14:28:39,Android,6.1,Boa,76,2024-11-01 14:29:55,False,Logout,100
147,54,2024-11-03 17:04:37,Android,6.0,Regular,32,2024-11-03 17:05:09,False,Logout,100
148,54,2024-12-02 22:01:33,Android,6.1,Regular,118,2024-12-02 22:03:31,False,Logout,100
149,54,2024-12-03 19:55:29,Android,6.0,Boa,77,2024-12-03 19:56:46,False,Logout,100
150,54,2024-12-04 16:38:59,Android,6.0,Boa,21,2024-12-04 16:39:20,False,Logout,100
151,66,2024-02-05 21:20:02,iOS,6.0,Excelente,46,2024-02-05 21:20:48,False,Logout,100
152,66,2024-05-21 08:03:32,iOS,6.0,Boa,48,2024-05-21 08:04:20,False,Logout,100
153,66,2024-06-13 09:16:37,iOS,6.1,Boa,67,2024-06-13 09:17:44,False,Logout,100
154,66,2024-10-08 20:02:58,iOS,5.8,Regular,38,2024-10-08 20:03:36,False,Logout,100
155,66,2024-11-25 07:26:24,iOS,6.0,Boa,128,2024-11-25 07:28:32,False,Logout,100
156,66,2024-12-17 06:13:37,iOS,5.8,Ruim,46,2024-12-17 06:14:23,False,Logout,100
157,66,2024-12-30 12:41:49,iOS,6.1,Excelente,99,2024-12-30 12:43:28,False,Logout,100
158,71,2024-01-18 07:15:28,iOS,6.1,Ruim,250,2024-01-18 07:19:38,False,Logout,100
159,71,2024-01-29 16:20:21,iOS,6.1,Regular,188,2024-01-29 16:23:29,False,Logout,100
160,71,2024-03-03 13:33:00,iOS,6.1,Boa,190,2024-03-03 13:36:10,False,Logout,70
161,71,2024-06-06 20:20:26,iOS,5.8,Regular,24,2024-06-06 20:20:50,False,Logout,100
162,71,2024-06-18 15:38:45,iOS,6.1,Boa,55,2024-06-18 15:39:40,False,Logout,100
163,71,2024-07-19 09:14:36,Android,6.1,Boa,45,2024-07-19 09:15:21,False,Logout,100
164,71,2024-09-18 11:12:07,iOS,6.1,Boa,53,2024-09-18 11:13:00,False,Logout,100
165,71,2024-12-11 17:28:11,iOS,6.0,Boa,63,2024-12-11 17:29:14,False,Logout,100
166,74,2024-01-30 14:36:45,iOS,6.0,Boa,165,2024-01-30 14:39:30,False,Logout,100
167,74,2024-02-13 08:37:28,iOS,6.0,Excelente,63,2024-02-13 08:38:31,False,Logout,100
168,74,2024-02-14 13:48:13,iOS,6.0,Regular,46,2024-02-14 13:48:59,False,Logout,100
169,74,2024-03-19 07:27:10,iOS,6.1,Boa,111,2024-03-19 07:29:01,False,Logout,100
170,74,2024-04-21 22:32:25,iOS,5.9,Boa,24,2024-04-21 22:32:49,False,Logout,100
171,74,2024-04-24 15:33:49,iOS,5.9,Boa,48,2024-04-24 15:34:37,False,Logout,100
172,74,2024-05-05 08:09:57,iOS,6.1,Boa,55,2024-05-05 08:10:52,False,Logout,100
173,74,2024-05-19 14:30:30,iOS,6.0,Boa,40,2024-05-19 14:31:10,False,Logout,100
174,74,2024-06-04 21:02:03,iOS,6.0,Excelente,37,2024-06-04 21:02:40,False,Logout,100
175,74,2024-06-10 18:09:10,iOS,6.0,Boa,24,2024-06-10 18:09:34,False,Logout,100
176,74,2024-06-21 16:55:55,Android,5.9,Boa,54,2024-06-21 16:56:49,False,Logout,100
177,74,2024-08-05 11:14:49,iOS,6.1,Ruim,42,2024-08-05 11:15:31,False,Logout,100
178,74,2024-08-09 18:31:33,Android,6.0,Regular,57,2024-08-09 18:32:30,False,Logout,100
179,74,2024-09-04 22:06:52,iOS,6.1,Regular,65,2024-09-04 22:07:57,False,Logout,100
180,74,2024-11-15 22:55:06,iOS,6.0,Regular,121,2024-11-15 22:57:07,False,Logout,100
181,74,2024-12-25 22:21:20,iOS,6.0,Excelente,19,2024-12-25 22:21:39,False,Logout,100
182,85,2024-02-05 09:40:09,iOS,6.0,Excelente,35,2024-02-05 09:40:44,False,Logout,100
183,85,2024-02-16 19:02:18,iOS,6.1,Excelente,201,2024-02-16 19:05:39,False,Logout,100
184,85,2024-02-21 14:42:28,iOS,6.1,Excelente,37,2024-02-21 14:43:05,False,Logout,100
185,85,2024-04-15 18:19:24,iOS,6.1,Boa,58,2024-04-15 18:20:22,False,Logout,100
186,85,2024-04-15 22:40:15,iOS,6.0,Ruim,49,2024-04-15 22:41:04,False,Logout,100
187,85,2024-04-23 21:36:25,iOS,6.0,Boa,68,2024-04-23 21:37:33,False,Logout,100
188,85,2024-05-01 03:16:32,iOS,6.1,Boa,45,2024-05-01 03:17:17,False,Logout,100
189,85,2024-05-20 20:34:48,iOS,6.1,Boa,106,2024-05-20 20:36:34,False,Logout,100
190,85,2024-05-21 21:43:09,iOS,6.1,Excelente,51,2024-05-21 21:44:00,False,Logout,100
191,85,2024-06-03 08:14:15,iOS,6.1,Boa,93,2024-06-03 08:15:48,False,Logout,100
192,85,2024-06-29 20:38:49,iOS,6.1,Boa,100,2024-06-29 20:40:29,False,Logout,100
193,85,2024-07-04 10:52:11,iOS,5.9,Excelente,134,2024-07-04 10:54:25,False,Logout,100
194,85,2024-07-08 18:33:04,iOS,5.8,Excelente,17,2024-07-08 18:33:21,False,Logout,100
195,85,2024-07-11 12:17:17,iOS,6.1,Excelente,21,2024-07-11 12:17:38,False,Logout,100
196,85,2024-08-04 23:16:16,iOS,6.1,Boa,84,2024-08-04 23:17:40,False,Logout,100
197,85,2024-08-17 16:05:30,iOS,6.1,Excelente,57,2024-08-17 16:06:27,False,Logout,100
198,85,2024-08-28 15:16:55,iOS,6.0,Excelente,56,2024-08-28 15:17:51,False,Logout,100
199,85,2024-09-02 20:45:39,iOS,6.1,Excelente,30,2024-09-02 20:46:09,False,Logout,100
200,85,2024-09-16 08:56:12,iOS,6.1,Boa,125,2024-09-16 08:58:17,False,Logout,100
201,85,2024-09-17 13:47:06,iOS,6.1,Regular,122,2024-09-17 13:49:08,False,Logout,100
202,85,2024-09-24 20:20:19,iOS,6.1,Boa,52,2024-09-24 20:21:11,False,Logout,100
203,85,2024-09-25 10:16:49,iOS,6.1,Excelente,121,2024-09-25 10:18:50,False,Logout,100
204,85,2024-10-03 08:35:05,iOS,6.1,Excelente,45,2024-10-03 08:35:50,False,Logout,100
205,85,2024-10-09 18:53:50,iOS,6.0,Boa,103,2024-10-09 18:55:33,False,Logout,100
206,85,2024-10-10 11:53:25,iOS,6.1,Regular,47,2024-10-10 11:54:12,False,Logout,100
207,85,2024-11-19 13:08:04,iOS,6.0,Excelente,97,2024-11-19 13:09:41,False,Logout,100
208,85,2024-11-28 19:31:20,iOS,5.9,Boa,73,2024-11-28 19:32:33,False,Logout,100
209,85,2024-12-01 12:55:15,iOS,6.1,Excelente,31,2024-12-01 12:55:46,False,Logout,100
210,85,2024-12-01 19:48:36,iOS,6.0,Excelente,167,2024-12-01 19:51:23,False,Logout,80
211,85,2024-12-07 07:21:27,iOS,6.1,Regular,54,2024-12-07 07:22:21,False,Logout,100
212,85,2024-12-10 14:00:02,iOS,6.1,Excelente,59,2024-12-10 14:01:01,False,Logout,100
213,85,2024-12-17 19:36:48,iOS,5.9,Excelente,40,2024-12-17 19:37:28,False,Logout,100
214,85,2024-12-28 21:14:26,iOS,6.0,Excelente,60,2024-12-28 21:15:26,False,Logout,100
215,95,2024-03-10 12:02:47,Android,6.0,Ruim,91,2024-03-10 12:04:18,False,Logout,100
216,95,2024-05-19 01:02:16,iOS,6.0,Boa,27,2024-05-19 01:02:43,False,Logout,100
217,95,2024-06-04 19:52:26,Android,6.1,Boa,56,2024-06-04 19:53:22,False,Logout,100
218,95,2024-06-07 23:07:43,Android,6.1,Boa,172,2024-06-07 23:10:35,False,Logout,100
219,95,2024-08-05 16:28:36,Android,6.0,Excelente,80,2024-08-05 16:29:56,False,Logout,100
220,95,2024-08-16 10:08:22,Android,6.0,Excelente,151,2024-08-16 10:10:53,False,Logout,100
221,96,2024-01-01 15:27:07,iOS,6.0,Excelente,67,2024-01-01 15:28:14,False,Logout,100
222,96,2024-01-05 00:20:42,iOS,6.0,Boa,41,2024-01-05 00:21:23,False,Logout,100
223,96,2024-01-22 09:49:30,iOS,6.1,Boa,28,2024-01-22 09:49:58,False,Logout,100
224,96,2024-07-21 22:16:54,iOS,6.0,Boa,48,2024-07-21 22:17:42,False,Logout,100
225,96,2024-07-28 09:10:22,iOS,6.1,Boa,218,2024-07-28 09:14:00,False,Logout,100
226,96,2024-09-20 14:21:06,iOS,6.0,Boa,28,2024-09-20 14:21:34,False,Logout,100
227,96,2024-09-20 21:54:42,iOS,6.1,Boa,54,2024-09-20 21:55:36,False,Logout,100
228,96,2024-10-16 10:18:11,iOS,6.1,Regular,113,2024-10-16 10:20:04,False,Logout,100
229,96,2024-11-07 12:53:57,iOS,6.0,Boa,68,2024-11-07 12:55:05,False,Logout,100
230,96,2024-12-03 08:39:12,iOS,6.1,Excelente,62,2024-12-03 08:40:14,False,Logout,100
231,99,2024-05-30 09:38:39,iOS,6.1,Boa,132,2024-05-30 09:40:51,False,Logout,100
232,103,2024-01-01 14:25:21,Android,5.9,Regular,53,2024-01-01 14:26:14,False,Logout,100
233,103,2024-02-22 08:32:24,Android,6.0,Regular,53,2024-02-22 08:33:17,False,Logout,100
234,103,2024-03-07 01:47:01,Android,6.0,Ruim,202,2024-03-07 01:50:23,False,Logout,100
235,103,2024-03-28 16:09:20,Android,6.1,Excelente,57,2024-03-28 16:10:17,False,Logout,100
236,103,2024-03-29 11:59:09,Android,6.0,Boa,41,2024-03-29 11:59:50,False,Logout,100
237,103,2024-04-15 21:21:38,Android,6.1,Excelente,91,2024-04-15 21:23:09,False,Logout,100
238,103,2024-05-03 16:33:26,Android,6.0,Boa,68,2024-05-03 16:34:34,False,Logout,100
239,103,2024-06-10 23:40:32,Android,5.8,Boa,53,2024-06-10 23:41:25,False,Logout,100
240,103,2024-09-03 20:47:31,Android,6.1,Excelente,27,2024-09-03 20:47:58,False,Logout,100
241,103,2024-10-17 21:24:57,Android,6.0,Boa,69,2024-10-17 21:26:06,False,Logout,100
242,103,2024-11-26 19:29:32,Android,6.0,Excelente,71,2024-11-26 19:30:43,False,Logout,100
243,106,2024-04-10 13:31:00,Android,6.0,Regular,19,2024-04-10 13:31:19,True,Abandono,20
244,106,2024-10-10 22:36:54,Android,6.0,Excelente,137,2024-10-10 22:39:11,False,Logout,100
245,106,2024-10-14 18:36:01,Android,6.0,Boa,89,2024-10-14 18:37:30,False,Logout,100
246,106,2024-11-13 18:03:03,Android,6.1,Excelente,26,2024-11-13 18:03:29,False,Logout,100
247,114,2024-03-12 09:58:24,iOS,6.0,Excelente,26,2024-03-12 09:58:50,False,Logout,100
248,114,2024-04-01 08:40:40,iOS,6.1,Boa,23,2024-04-01 08:41:03,False,Logout,100
249,114,2024-06-11 12:33:18,iOS,6.1,Boa,49,2024-06-11 12:34:07,False,Logout,100
250,114,2024-06-27 17:03:02,iOS,6.0,Boa,70,2024-06-27 17:04:12,False,Logout,100
251,114,2024-08-19 01:26:51,iOS,6.0,Regular,36,2024-08-19 01:27:27,False,Logout,100
252,114,2024-11-17 19:49:50,iOS,6.0,Excelente,69,2024-11-17 19:50:59,False,Logout,100
253,114,2024-12-13 14:29:31,iOS,6.1,Boa,44,2024-12-13 14:30:15,False,Logout,100
254,114,2024-12-15 11:05:03,iOS,5.9,Excelente,49,2024-12-15 11:05:52,False,Logout,100
255,114,2024-12-19 16:30:31,iOS,6.0,Boa,204,2024-12-19 16:33:55,False,Logout,100
256,114,2024-12-24 19:15:45,iOS,6.1,Boa,73,2024-12-24 19:16:58,False,Logout,100
257,115,2024-01-03 08:35:52,iOS,6.1,Excelente,66,2024-01-03 08:36:58,False,Logout,100
258,115,2024-01-03 08:38:40,iOS,6.1,Regular,79,2024-01-03 08:39:59,False,Logout,100
259,115,2024-02-12 23:29:33,iOS,6.1,Boa,28,2024-02-12 23:30:01,False,Logout,100
260,115,2024-02-16 22:25:24,iOS,6.1,Boa,102,2024-02-16 22:27:06,False,Logout,100
261,115,2024-02-18 15:49:04,iOS,6.1,Ruim,81,2024-02-18 15:50:25,False,Logout,100
262,115,2024-04-24 10:57:03,iOS,6.1,Boa,59,2024-04-24 10:58:02,False,Logout,100
263,115,2024-05-09 13:39:52,iOS,6.1,Ruim,49,2024-05-09 13:40:41,False,Logout,100
264,115,2024-05-17 10:10:14,iOS,6.0,Regular,174,2024-05-17 10:13:08,False,Logout,88
265,115,2024-05-22 15:06:52,iOS,6.1,Excelente,93,2024-05-22 15:08:25,False,Logout,100
266,115,2024-07-05 18:45:21,iOS,6.1,Boa,52,2024-07-05 18:46:13,False,Logout,100
